District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Chicken Commercial,Bee Hives,Totals,County,Lat,Long
LAIKIPIA NORTH,39417,86452,120416,2064,3990,17,13513,614,14818,281301,Laikipia,0.515458301,36.99627658
LAIKIPIA WEST,94573,149414,115864,717,7111,1481,179512,19036,6843,574551,Laikipia,0.39729996,36.5181069
LAISAMIS,61462,187959,270213,46680,11843,45,5049,633,1584,585468,Marsabit,2.238105939,37.48344825
LAMU,81200,15626,68178,47,2572,55,87951,7636,1219,264484,Lamu,-2.018858269,40.74388079
LARI,34890,23554,2677,0,2291,960,69419,29186,896,163873,Kiambu,-0.92811243,36.67684469
LOITOKITOK,165011,185909,192720,134,10997,451,78040,11471,9925,654658,Kajiado,-2.635934635,37.47875865
LUGARI,78650,35159,12124,2,817,2831,275758,31316,2223,438880,Kakamega,0.723211024,35.02947866
MAARA,32522,10418,36423,6,188,4030,99410,16724,18638,218359,Meru,-0.228019729,37.62522793
MACHAKOS,121693,46665,148309,9,2665,2595,282312,127965,9489,741702,Machakos,-1.50054564,37.16409824
MAKUENI,84465,23111,192329,3,14326,463,233209,15639,27180,590725,Makueni,-1.881125246,37.67253055
MALINDI,65960,19085,173295,10,2125,478,220186,36729,2818,520686,Kilifi,-2.934879654,39.74330931
MANDERA CENTRAL,467713,745295,1767102,385085,83649,0,85687,10415,1806,3546752,Mandera,3.226535113,40.72748791
MANDERA EAST,306791,542948,1506203,179713,64985,6,42516,6579,1333,2651074,Mandera,3.521529392,41.29294811
MANDERA WEST,302474,344581,656442,366021,43030,0,72459,10014,50363,1845384,Mandera,3.593363344,40.2334622
MANGA,22548,1989,7054,0,218,84,65849,12267,1105,111114,Nyamira,-0.688310175,34.90211779
MARAKWET,99969,202260,108093,17,10636,218,143608,12207,33422,610430,Elgeyo Marakwet,1.08405524,35.50699822
MARSABIT,25906,13306,28162,915,2800,14,8286,1560,440,81389,Marsabit,2.350360288,37.94495682
MASABA,63945,6651,19094,2,1845,425,189884,20822,1130,303798,Kisii,-0.793929262,34.88253143
MBEERE,83648,26834,166679,11,7234,1347,202410,14675,74004,576842,Embu,-0.666137176,37.66541038
MBOONI,51188,13010,119010,5,6737,245,161437,9590,11320,372542,Makueni,-1.649117358,37.60666503
MERU CENTRAL,57108,24524,31093,2,862,2010,131170,22164,14556,283489,Meru,0.001443681,37.58330732
MERU SOUTH,36893,19283,52354,2,486,4575,123515,15940,33942,286990,Meru,-0.330686401,37.67297626
MIGORI,145339,33958,79625,1,5848,1021,428046,28729,672,723239,Migori,-0.994047994,34.30280979
MOLO,182243,149906,37724,2,20208,1789,439209,39865,64052,934998,Nakuru,-0.409755795,35.75756717
MOMBASA,8488,2155,15410,0,757,687,57236,109977,521,195231,Mombasa,-3.9685,39.6977
MOYALE,116256,75748,146523,86314,11505,0,27769,1778,359,466252,Marsabit,3.117620629,38.80269655
MSAMBWENI,138107,32281,120556,60,1540,320,187463,54898,1974,537199,Kwale ,-4.397198722,39.16173404
MT. ELGON,45941,20359,14668,2,6347,725,107726,3044,7537,206349,Bungoma,0.928746904,34.59729929
