AKGWA_NUMBER,Lat83,Long83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
30010193,3967389.33,5795080.3,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,101
00032515,3819599.24,5764728.12,Johnson,1/1/1984,DOMESTIC - SINGLE HOUSEHOLD,620,103
00046810,3911087.49,5765067.5,Lawrence,12/9/1996,DOMESTIC - SINGLE HOUSEHOLD,700,105
40001710,3835040.04,5778326.19,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,106
30002152,3884508.41,5816075.05,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,110
40001033,3852812.63,5777199.09,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,112
60000297,3904992.86,5740391.91,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,112
00005743,3828258.94,5747033.16,Johnson,6/18/1992,DOMESTIC - SINGLE HOUSEHOLD,800,115
30001263,3821884.19,5767556.09,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,120
30002505,3840232.59,5752012.04,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,120
30005911,3905689.58,5808827.36,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,120
00032518,3858520.42,5763543.86,Johnson,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,710,122.5
60000472,3891994.46,5725489.05,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,130
30003203,3849983.09,5755148.95,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,132
00019669,3913541.61,5759420.72,Lawrence,5/15/1992,DOMESTIC - SINGLE HOUSEHOLD,680,135
30002384,3886470.04,5716265.24,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,135
40006610,3830346.76,5780323.7,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,135
00037407,4166938.66,5732609.58,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,610,140
30007052,3922385.41,5792459.5,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,140
00036344,3915797.18,5750593.41,Lawrence,8/24/1994,DOMESTIC - SINGLE HOUSEHOLD,700,150
30002104,3860299.91,5760113.89,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,150
30005698,3941789.29,5818574.72,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,150
30005940,3952383.81,5779369.99,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,150
30002121,3868042.13,5741833.15,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,152
30002958,3900588.95,5796569.74,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,154
00032517,3867703.74,5743098.71,Johnson,1/1/1967,DOMESTIC - SINGLE HOUSEHOLD,760,170
30002527,3848505.41,5742658.21,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,175
30006167,3954677.26,5800706.2,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,176
00010545,3928452.2,5807757.58,Lawrence,8/2/1989,DOMESTIC - SINGLE HOUSEHOLD,720,180
30002324,3858671.89,5737960.08,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,180
00013185,4089472.04,5767176.38,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,720,185
30002971,3912590.69,5767559.58,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,200
30002985,3935301.7,5832555.66,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,201
40000435,3829417.14,5760438.95,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,220
30005912,3907420.16,5850307.58,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,225
40007002,3833971.56,5737498.87,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,225
60000674,4076305.95,5791177.67,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,230
60000291,3899748.65,5714045.07,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,264
30002309,3853979.45,5745351.01,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,278
00038804,3901609.93,5743344.28,Lawrence,6/16/1995,DOMESTIC - SINGLE HOUSEHOLD,720,285
30002292,3847535.82,5765479.18,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,300
30005212,3903555.37,5775570.39,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,300
60000474,3806204.13,5806652.19,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,300
60000680,4078071.85,5789448.35,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,310
40005777,3877055.39,5746693.86,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,820,330
40007461,3876713.26,5745421.24,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,835,330
00060135,3909006.08,5726947.78,Lawrence,7/8/2003,DOMESTIC - SINGLE HOUSEHOLD,725,335
40003053,3850320.06,5742699.61,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,385
30005937,3945253.67,5771712.72,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,400
00032524,3903987.67,5744985.99,Lawrence,6/10/2001,DOMESTIC - SINGLE HOUSEHOLD,720,420
00044068,3892252.55,5814766.94,Lawrence,11/10/1999,DOMESTIC - SINGLE HOUSEHOLD,600,430
00038804,3901609.93,5743344.28,Lawrence,10/21/2000,DOMESTIC - SINGLE HOUSEHOLD,720,435
00057418,3891965.84,5796830.97,Lawrence,4/23/2002,DOMESTIC - SINGLE HOUSEHOLD,600,450
00042492,3868759.56,5805123.88,Lawrence,9/1/1995,DOMESTIC - SINGLE HOUSEHOLD,600,470
00054950,3892030.22,5809895.22,Lawrence,1/1/1990,DOMESTIC - MULTIPLE DOMESTIC HOUSEHOLDS,600,480
40007129,3841765.72,5770247.31,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,680,505
40000582,3857263.87,5757888.67,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,690
40007726,3919143.44,5788216.85,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,999
40003811,3949760.06,5811531.9,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,1922
40000121,3855200,5775920.11,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,2006
40003516,3836171.14,5778931.77,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,2640
40006906,3919797.75,5789716.9,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,2688
