AKGWA_NUMBER,lat83,lon83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
30005450,37.995175,-82.975574,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
30005464,38.034682,-82.684458,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
30005705,38.168968,-82.907572,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
40000812,37.828519,-82.842551,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,65
40001415,37.825464,-82.842551,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,65
60000290,37.972962,-82.560034,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,63
80013318,38.739244,-82.916005,Greenup,3/8/1994,MONITORING WELL - AMBIENT MONITORING,550,62.5
80013319,38.739244,-82.916005,Greenup,3/9/1994,MONITORING WELL - AMBIENT MONITORING,550,62
40003047,37.852969,-82.762257,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,62
50000793,38.556549,-82.788104,Greenup,,INDUSTRIAL,536,61
60000675,38.483773,-82.707267,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,61
46627,37.738428,-82.860441,Johnson,1/1/1992,DOMESTIC - SINGLE HOUSEHOLD,800,60
47177,38.724244,-82.955173,Greenup,1/1/1996,DOMESTIC - SINGLE HOUSEHOLD,530,60
80012590,38.739521,-82.916283,Greenup,12/15/1993,MONITORING WELL - AMBIENT MONITORING,540,60
80012607,38.739244,-82.916005,Greenup,2/9/1994,MONITORING WELL - AMBIENT MONITORING,550,60
80013316,38.739244,-82.916005,Greenup,3/8/1994,MONITORING WELL - AMBIENT MONITORING,550,60
80013317,38.739244,-82.916005,Greenup,3/8/1994,MONITORING WELL - AMBIENT MONITORING,550,60
30000533,37.912981,-82.937273,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,60
30002387,37.968681,-82.733257,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,60
30002398,37.983185,-82.472941,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,60
40001869,37.825469,-82.790601,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,60
60000668,38.465993,-82.770326,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,60
42824,38.614606,-83.046258,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,810,58
80002932,38.421664,-82.831916,Greenup,10/6/1992,MONITORING WELL - AMBIENT MONITORING,680,58
30001923,37.763691,-82.823866,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,58
40002907,37.859906,-82.861991,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,645,58
40003035,37.836851,-82.856712,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,56
60000298,37.890184,-82.657257,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,55.5
54938,37.947454,-82.495068,Lawrence,1/1/1940,DOMESTIC - SINGLE HOUSEHOLD,600,55
30001889,37.73209,-82.845169,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,55
40001418,37.831853,-82.82894,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,55
60000469,37.790469,-82.852828,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,55
30001686,37.756388,-82.870972,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,54
30002038,37.824489,-82.718859,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,54
30009804,37.941483,-82.613853,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,54
60000467,37.855463,-82.848937,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,54
40004160,37.777133,-82.853935,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,53
30002343,37.912583,-82.793065,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,52
30002818,37.933982,-82.886673,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,52
